TYP,PFAD,KNOTENZAHL,DUPLIKATION,VERLUST,HGT,EVOLUTIONSRATE,BI_ANZAHL,DI_ANZAHL,EM_ANZAHL,FITCH,DELETION_RATE,SPECIAL,PARTIAL_BI_ANZAHL,PARTIAL_DI_ANZAHL,PARTIAL_EM_ANZAHL,PARTIAL_FITCH,ALGO_ONE_ORDER,ALGO_ONE_DIFF,ALGO_TWO_DIFF
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_3,10,0.25,0.5,1.0,3,0,16,58,True,0.8,True,0,0,12,True,"(1, 0, 2)",0.8666666666666667,0.5
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,12,1,76,False,0.8,True,2,0,16,False,"(1, 0, 2)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_30,10,0.25,0.5,1.0,30,18,26,20,True,0.4,True,10,0,12,True,"(1, 2, 0)",0.7555555555555555,0.5777777777777777
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,32,27,4,True,0.4,True,20,0,2,True,"(1, 2, 0)",0.6222222222222222,0.5111111111111111
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_31,10,0.25,0.5,1.0,31,2,31,26,True,0.4,True,2,0,16,True,"(0, 2, 1)",0.43333333333333335,0.5
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,4,8,70,False,0.4,True,2,0,42,False,"(0, 2, 1)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_32,10,0.25,0.5,1.0,32,8,28,26,True,0.2,True,6,0,20,True,"(2, 1, 0)",0.43333333333333335,0.4
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,18,1,70,False,0.2,True,14,0,56,False,"(2, 1, 0)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_33,10,0.25,0.5,1.0,33,18,24,24,True,0.6,False,8,10,10,True,"(1, 0, 2)",0.3888888888888889,0.3888888888888889
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,20,2,66,False,0.6,False,8,1,26,False,"(1, 0, 2)",-1.0,-1.0
